movie,year,imdb,metascore,votes,us_grossMillions,timeMin
Deliverance,1972,7.7,80,104117,7.06,109
Million Dollar Baby,2004,8.1,86,661545,100.49,132
When Harry Met Sally...,1989,7.6,76,207223,92.82,95
Gone with the Wind,1939,8.1,97,303136,198.68,238
Zombieland,2009,7.6,73,546729,75.59,88
Citizen Kane,1941,8.3,100,425106,1.59,119
Y tu mamá también,2001,7.6,88,119856,13.62,106
Indiana Jones and the Last Crusade,1989,8.2,65,721773,197.17,127
Incredibles 2,2018,7.6,80,272190,608.58,118
In Bruges,2008,7.9,67,405572,7.76,107
Beauty and the Beast,1991,8.0,95,430383,218.97,84
Awakenings,1990,7.8,74,134158,52.1,121
Serenity,2005,7.8,74,290190,25.51,119
Breakfast at Tiffany's,1961,7.6,76,173747,,115
In the Mood for Love,2000,8.1,85,138550,2.73,98
Naked,1993,7.8,84,37439,1.77,131
Kill Bill: Vol. 2,2004,8.0,83,719081,66.21,137
Monty Python and the Holy Grail,1975,8.2,91,520709,1.23,91
District 9,2009,7.9,81,658544,115.65,112
The Boondock Saints,1999,7.7,44,233804,0.03,108
Misery,1990,7.8,75,197280,61.28,107
"Crouching Tiger, Hidden Dragon",2000,7.8,94,261912,128.08,120
The Holy Mountain,1973,7.9,76,40492,0.06,114
The Lego Movie,2014,7.7,83,337161,257.76,100
The Others,2001,7.6,74,353164,96.52,104
Dirty Harry,1971,7.7,87,150333,35.9,102
Gifted,2017,7.6,60,108846,24.8,101
Princess Mononoke,1997,8.4,76,368487,2.38,134
The Theory of Everything,2014,7.7,71,427123,35.89,123
The Girl with the Dragon Tattoo,2009,7.8,76,213233,10.1,152
The Seventh Seal,1957,8.2,88,176953,,96
3:10 to Yuma,2007,7.7,76,299724,53.61,122
Walk the Line,2005,7.8,72,242837,119.52,136
How to Train Your Dragon,2010,8.1,75,698721,217.58,98
Lethal Weapon,1987,7.6,68,247634,65.21,109
The Last Samurai,2003,7.7,55,418392,111.11,154
The Count of Monte Cristo,2002,7.7,61,133824,54.23,131
Slumdog Millionaire,2008,8.0,84,821151,141.32,120
Metropolis,1927,8.3,98,167936,1.24,153
Who Framed Roger Rabbit,1988,7.7,83,192099,156.45,104
Where Eagles Dare,1968,7.6,63,56085,,158
Sense and Sensibility,1995,7.7,84,110209,43.18,136
Wreck-It Ralph,2012,7.7,72,399193,189.42,101
Toy Story 3,2010,8.2,92,791608,415.0,103
The Fault in Our Stars,2014,7.7,69,359641,124.87,126
The Fighter,2010,7.8,79,353269,93.62,116
The Bourne Ultimatum,2007,8.0,85,618658,227.47,115
Do the Right Thing,1989,8.0,93,97315,27.55,120
Moon,2009,7.8,67,347325,5.01,97
Mulan,1998,7.6,71,270893,120.62,88
Das Boot,1981,8.3,86,242066,11.49,149
Gattaca,1997,7.8,64,291713,12.34,106
Grave of the Fireflies,1988,8.5,94,255697,,89
Rebel Without a Cause,1955,7.7,89,87406,,111
The Fugitive,1993,7.8,87,281161,183.88,130
Stalker,1979,8.1,,127491,0.23,162
First Blood,1982,7.7,61,239854,47.21,93
The Last Picture Show,1971,8.0,93,45379,29.13,118
Carlito's Way,1993,7.9,65,209916,36.95,144
"O Brother, Where Art Thou?",2000,7.7,69,299792,45.51,107
The Sting,1973,8.3,83,252031,159.6,129
Toy Story 2,1999,7.9,88,552038,245.85,92
Straight Outta Compton,2015,7.8,72,190317,161.2,147
Lion,2016,8.0,69,226098,51.74,118
Fiddler on the Roof,1971,8.0,67,41700,80.5,181
Hunt for the Wilderpeople,2016,7.9,81,121914,5.2,101
A Fistful of Dollars,1964,8.0,65,208384,14.5,99
Creed,2015,7.6,82,260518,109.77,133
Life of Pi,2012,7.9,79,603738,124.99,127
The Birds,1963,7.7,90,181106,11.4,119
The King's Speech,2010,8.0,88,659359,138.8,118
Raging Bull,1980,8.2,89,337882,23.38,129
The Florida Project,2017,7.6,92,104881,5.9,111
White Heat,1949,8.1,,31739,,114
The Elephant Man,1980,8.1,78,232028,,124
Cinema Paradiso,1988,8.5,80,247441,11.99,155
Brazil,1985,7.9,84,195711,9.93,132
North by Northwest,1959,8.3,98,314339,13.28,136
Barry Lyndon,1975,8.1,89,159677,,185
Dark City,1998,7.6,66,194629,14.38,100
Captain Phillips,2013,7.8,82,440631,107.1,134
Papillon,1973,8.0,58,126925,53.27,151
Singin' in the Rain,1952,8.3,99,230366,8.82,103
To Kill a Mockingbird,1962,8.3,88,305829,,129
Dangal,2016,8.4,,173651,12.39,161
A Bronx Tale,1993,7.8,80,135023,17.27,121
